topic,course_id,title,url,thumbnail,instructor,instructor_photo,num_lectures,subscribers,price,currency,duration,rating,description
Python,2776760,100 Days of Code: The Complete Python Pro Bootcamp,https://www.udemy.com/course/100-days-of-code/,https://img-c.udemycdn.com/course/480x270/2776760_f176_10.jpg,"Dr. Angela Yu, Developer and Lead Instructor",https://img-c.udemycdn.com/user/100x100/31334738_a13c_3.jpg,592,1509181,$74.99,USD,56.5 total hours,4.7044106,"Master Python by building 100 projects in 100 days. Learn data science, automation, build websites, games and apps!"
Python,567828,The Complete Python Bootcamp From Zero to Hero in Python,https://www.udemy.com/course/complete-python-bootcamp/,https://img-c.udemycdn.com/course/480x270/567828_67d0.jpg,Jose Portilla,https://img-c.udemycdn.com/user/100x100/9685726_67e7_4.jpg,156,2017431,$74.99,USD,22 total hours,4.5843115,Learn Python like a Professional  Start from the basics and go all the way to creating your own applications and games
Python,692188,"Python Mega Course: Learn Python in 60 Days, Build 20 Apps",https://www.udemy.com/course/the-python-mega-course/,https://img-c.udemycdn.com/course/480x270/692188_9da7_34.jpg,Ardit Sulce,https://img-c.udemycdn.com/user/100x100/717783_3157_8.jpg,459,338778,$74.99,USD,52.5 total hours,4.6029797,Learn Python from zero to advanced by building real programs to gain the skills needed to land an entry-level job.
Python,4398404,Learn Python Programming - Beginner to Master,https://www.udemy.com/course/learn-python-with-abdul-bari/,https://img-c.udemycdn.com/course/480x270/4398404_2f8f_2.jpg,Abdul Bari,https://img-c.udemycdn.com/user/100x100/27878376_ce40_3.jpg,352,37122,$54.99,USD,57 total hours,4.6122603,Become a Python Expert. for Both Academics and Industry.  100+ Challenges
Python,2473048,The Complete Python Developer,https://www.udemy.com/course/complete-python-developer-zero-to-mastery/,https://img-c.udemycdn.com/course/480x270/2473048_8255_5.jpg,Andrei Neagoie,https://img-c.udemycdn.com/user/100x100/38516954_b11c_3.jpg,345,226685,$74.99,USD,31 total hours,4.6094317,"How to become a Python 3 Developer and get hired! Build 12+ projects, learn Web Development, Machine Learning + more!"
Python,6120747,Complete Python With DSA Bootcamp + LEETCODE Exercises,https://www.udemy.com/course/complete-python-dsa-bootcamp/,https://img-c.udemycdn.com/course/480x270/6120747_5232_2.jpg,Krish Naik,https://img-c.udemycdn.com/user/100x100/34123448_bea6.jpg,258,16093,$44.99,USD,61 total hours,4.545679,Master Python and Data Structures with Hands-on Projects and Coding Challenges for Tech Interviews and Beyond!
Python,629302,Learn Python Programming Masterclass,https://www.udemy.com/course/python-the-complete-python-developer-course/,https://img-c.udemycdn.com/course/480x270/629302_8a2d_2.jpg,Tim Buchalka,https://img-c.udemycdn.com/user/100x100/599932_71aa_5.jpg,482,432429,$74.99,USD,61.5 total hours,4.5961537,This Python For Beginners Course Teaches You The Python Language  Fast.  Includes Python Online Training With Python 3
Python,919038,The Ultimate Python Masterclass: Build 24 Python Projects,https://www.udemy.com/course/python-masterclass-course/,https://img-c.udemycdn.com/course/480x270/919038_3ae1_15.jpg,Ashutosh Pawar,https://img-c.udemycdn.com/user/100x100/18558450_3457_6.jpg,778,33070,$74.99,USD,80.5 total hours,4.6125,"Python course for beginners, Learn Python,Data Analysis, PyQt6, Django, Flask, OpenCV, Python Projects and a lot more."
Python,5686690,Python Course: Basics to Advanced 2025,https://www.udemy.com/course/complete-python-course-from-basics-to-advanced-2024/,https://img-c.udemycdn.com/course/480x270/5686690_04fe.jpg,Programming Hub: 40 million+ global students,https://img-c.udemycdn.com/user/100x100/225034806_bff9_10.jpg,271,6345,$19.99,USD,31.5 total hours,4.49,"Build Python Advanced Skills from Scratch: Real Projects in Data Science, Automation, and Development for All Levels"
Python,5007558,Python 3: Fundamentals,https://www.udemy.com/course/python3-fundamentals/,https://img-c.udemycdn.com/course/480x270/5007558_7f4c_2.jpg,Dr. Fred Baptiste,https://img-c.udemycdn.com/user/100x100/456740_4d23_3.jpg,286,19978,$59.99,USD,48.5 total hours,4.658759,Learn Python the right way!
